,travel_date,ratings,flight_type,flight_class,review_title,review_text,Airline_Company,Airline_Class,Airline_Origin
0, February 2021,2,Domestic,Economy,Allegiant Air- Travel is our deal!,"Well travel my be their deal, but “Late” should be their Moto. I have now travelled 8-10 times this past year on this airline and believe I need to look a little bit less at their cost and more on quality. Time is money, and each delay I encounter with this airline cost more than the ticket+cost.  Sorry to say this but until they can get with the rest of the industry and look at their on time rate as a quality issue I think they need to be passed up as a cost effective carrier.  Last trip 7 hour delay, time before 5.5 hours delay and now today while I write this we are already sitting here with a 2.75 hour delay and no details on when we might see an aircraft, much less board.  I can understand if a whole airport has delays at the same time but with Allegiant, every time in the last 9 flights it has only been this airline that had the delays at the airport I was at. As you can see I am flying to Las Vegas but Not as a player or tourist, I have a rental car to pick up to head to Arizona for business. Again, the delays are costing more money than the flight savings.  Sorry team, but time to look at a change and value of time.…",Allegiant,low-cost,USA
1, February 2021,1,Domestic,Basic Economy,Nickle and Dime,$50 for a carry on. Let that sink in. The time you're done with all the fees its cheaper in the end using Southwest or Delta. Will never fly with them again.,Allegiant,low-cost,USA
2, January 2021,1,Domestic,Basic Economy,Horrible experience,"I will never fly Allegiant again. I am a disabled veteran who has a service dog for whom I have flown with on Allegiant several times in the past. The dog is perfectly behaved, small and has his paperwork, vaccine records, etc. The gate staff was rude and refused my boarding. I guess that's the way they treat those who gave part of their health serving this country!!! Stay away.…",Allegiant,low-cost,USA
3, February 2020,2,Domestic,Economy,Car Rental thru Allegiant then Alamo,"We purchased a car rental when we purchased our flights, which was 6 weeks before our trip.   When we arrived in Sarasota Alamo said Allegiant had overbooked the car rental & they did not have any more cars ( our rental house was 45 minutes away) so my husband went to Avis & they only had 2 cars & we had to have one so we had to pay over$1400 for another car.   Allegiant have use a $298 voucher for future use!!!  They way we see it, we were just out $1100 that we should not have had to spend & Allegiant should be responsible to paying for the car rental since it was their mistake.   DO NOT BOOK YOUR CAR RENTAL WITH YOU FLIGHT!!…",Allegiant,low-cost,USA
4, October 2020,1,Domestic,Basic Economy,They refused to make a situation right,booked a flight and bags. Decided to cancel my bags. They refunded the third party company the bags the the third party refused to refund us what they received from allegiant. Called allegiant they didnt care and wouldnt make it right. No bags and no money now,Allegiant,low-cost,USA
5, January 2021,5,Domestic,Basic Economy,Oct 2020 / GREAT flight both ways,"Okay, I have waited several months to write this review because I wanted to make sure I included some Pros and Cons.  When I first booked my heavily discounted ticket, I was extremely trepidatious; partly because of all the bad reviews I had read and partly because of the old…",Allegiant,low-cost,USA
6, January 2021,1,Domestic,Economy,$100 Charge for BAG 1 LB OVERWEIGHT (that was 3 lbs UNDER when I weighed it myself),"So, this is not only the least safe airline (per FAA report), they are also the worst at customer service, on time arrivals, and charging $100 for a pound (my home scale showed I was 3 pounds UNDER!) Ground staff usually dismissive and rude. This is the airline built to give the…",Allegiant,low-cost,USA
7, March 2020,1,Domestic,Basic Economy,5 delays out of 6 flights so far,Worst airlines on the planet!  7 hour delay... 4 hour delay!  Changed gate 3 times!!  Just the worst airline experience so far!!!,Allegiant,low-cost,USA
8, January 2021,5,Domestic,Basic Economy,Satisfied with Allegiant Air,We were pleased with how Allegiant gave us a 1 year voucher immediately when we decided to not take our spring break 2020 trip to Florida.  We did not have trip insurance and securing the voucher was hassle free.  We were further surprised pleasantly when they extended it…,Allegiant,low-cost,USA
9, January 2021,1,Domestic,Basic Economy,The. Worst. Airline. in the World.,"Just do not waste your time and money with this airline.  Book a flight, watch them cancel it.   Rise and repeat.   Guess what -- your credit voucher just expired!  Allegiant is the worst, and I used to fly 100,000 miles a year.",Allegiant,low-cost,USA
