,Unnamed: 0,travel_date,ratings,flight_type,flight_class,review_title,review_text,Airline_Company,Airline_Class,Airline_Origin,all_review,preprocess_data,topic_sentiment
0,0, February 2021,2,Domestic,Economy,Allegiant Air- Travel is our deal!,"Well travel my be their deal, but “Late” should be their Moto. I have now travelled 8-10 times this past year on this airline and believe I need to look a little bit less at their cost and more on quality. Time is money, and each delay I encounter with this airline cost more than the ticket+cost.  Sorry to say this but until they can get with the rest of the industry and look at their on time rate as a quality issue I think they need to be passed up as a cost effective carrier.  Last trip 7 hour delay, time before 5.5 hours delay and now today while I write this we are already sitting here with a 2.75 hour delay and no details on when we might see an aircraft, much less board.  I can understand if a whole airport has delays at the same time but with Allegiant, every time in the last 9 flights it has only been this airline that had the delays at the airport I was at. As you can see I am flying to Las Vegas but Not as a player or tourist, I have a rental car to pick up to head to Arizona for business. Again, the delays are costing more money than the flight savings.  Sorry team, but time to look at a change and value of time.…",Allegiant,low-cost,USA,"['allegiant', 'air', 'travel', 'is', 'our', 'deal', 'well', 'travel', 'my', 'be', 'their', 'deal', 'but', 'late', 'should', 'be', 'their', 'moto', 'have', 'now', 'travelled', 'times', 'this', 'past', 'year', 'on', 'this', 'airline', 'and', 'believe', 'need', 'to', 'look', 'little', 'bit', 'less', 'at', 'their', 'cost', 'and', 'more', 'on', 'quality', 'time', 'is', 'money', 'and', 'each', 'delay', 'encounter', 'with', 'this', 'airline', 'cost', 'more', 'than', 'the', 'ticket', 'cost', 'sorry', 'to', 'say', 'this', 'but', 'until', 'they', 'can', 'get', 'with', 'the', 'rest', 'of', 'the', 'industry', 'and', 'look', 'at', 'their', 'on', 'time', 'rate', 'as', 'quality', 'issue', 'think', 'they', 'need', 'to', 'be', 'passed', 'up', 'as', 'cost', 'effective', 'carrier', 'last', 'trip', 'hour', 'delay', 'time', 'before', 'hours', 'delay', 'and', 'now', 'today', 'while', 'write', 'this', 'we', 'are', 'already', 'sitting', 'here', 'with', 'hour', 'delay', 'and', 'no', 'details', 'on', 'when', 'we', 'might', 'see', 'an', 'aircraft', 'much', 'less', 'board', 'can', 'understand', 'if', 'whole', 'airport', 'has', 'delays', 'at', 'the', 'same', 'time', 'but', 'with', 'allegiant', 'every', 'time', 'in', 'the', 'last', 'flights', 'it', 'has', 'only', 'been', 'this', 'airline', 'that', 'had', 'the', 'delays', 'at', 'the', 'airport', 'was', 'at', 'as', 'you', 'can', 'see', 'am', 'flying', 'to', 'las', 'vegas', 'but', 'not', 'as', 'player', 'or', 'tourist', 'have', 'rental', 'car', 'to', 'pick', 'up', 'to', 'head', 'to', 'arizona', 'for', 'business', 'again', 'the', 'delays', 'are', 'costing', 'more', 'money', 'than', 'the', 'flight', 'savings', 'sorry', 'team', 'but', 'time', 'to', 'look', 'at', 'change', 'and', 'value', 'of', 'time']",allegiant air travel deal travel deal late moto travelled times past year airline believe need look little bit cost quality time money delay encounter airline cost ticket cost sorry rest industry look time rate quality issue think need passed cost effective carrier trip hour delay time hours delay today write sitting hour delay details aircraft board understand airport delays time allegiant time flights airline delays airport flying las vegas player tourist rental car pick head arizona business delays costing money flight savings sorry team time look change value time,"{'bit': (-1, 'little'), 'money time delay': (-1, 'sorry'), 'cost sorry': (-1, 'sorry'), 'rest': (-1, 'delay'), 'quality issue': (-1, 'issue'), 'hour': (1, 'effective'), 'delay': (-1, 'delay'), 'time hours': (-1, 'delay'), 'today': (-1, 'delay'), 'travel deal deal': (-1, 'delay'), 'airline': (-1, 'delay'), 'cost': (-1, 'delay'), 'airport delays': (-1, 'delays'), 'airline time delays': (-1, 'delays'), 'delays airport': (-1, 'delays'), 'player car': (-1, 'delays'), 'business arizona head delays': (-1, 'delays'), 'money': (1, 'savings'), 'flight': (1, 'savings'), 'savings': (1, 'savings'), 'savings flight money sorry': (-1, 'sorry'), 'team': (-1, 'sorry')}"
1,1, February 2021,1,Domestic,Basic Economy,Nickle and Dime,$50 for a carry on. Let that sink in. The time you're done with all the fees its cheaper in the end using Southwest or Delta. Will never fly with them again.,Allegiant,low-cost,USA,"['nickle', 'and', 'dime', 'for', 'carry', 'on', 'let', 'that', 'sink', 'in', 'the', 'time', 'you', 're', 'done', 'with', 'all', 'the', 'fees', 'its', 'cheaper', 'in', 'the', 'end', 'using', 'southwest', 'or', 'delta', 'will', 'never', 'fly', 'with', 'them', 'again']",nickle dime carry let sink time fees cheaper end southwest delta fly,"{'sink': (-1, 'sink'), 'end': (1, 'cheaper')}"
2,2, January 2021,1,Domestic,Basic Economy,Horrible experience,"I will never fly Allegiant again. I am a disabled veteran who has a service dog for whom I have flown with on Allegiant several times in the past. The dog is perfectly behaved, small and has his paperwork, vaccine records, etc. The gate staff was rude and refused my boarding. I guess that's the way they treat those who gave part of their health serving this country!!! Stay away.…",Allegiant,low-cost,USA,"['horrible', 'experiencei', 'will', 'never', 'fly', 'allegiant', 'again', 'am', 'disabled', 'veteran', 'who', 'has', 'service', 'dog', 'for', 'whom', 'have', 'flown', 'with', 'on', 'allegiant', 'several', 'times', 'in', 'the', 'past', 'the', 'dog', 'is', 'perfectly', 'behaved', 'small', 'and', 'has', 'his', 'paperwork', 'vaccine', 'records', 'etc', 'the', 'gate', 'staff', 'was', 'rude', 'and', 'refused', 'my', 'boarding', 'guess', 'that', 'the', 'way', 'they', 'treat', 'those', 'who', 'gave', 'part', 'of', 'their', 'health', 'serving', 'this', 'country', 'stay', 'away']",horrible experiencei fly allegiant disabled veteran service dog flown allegiant times past dog perfectly behaved small paperwork vaccine records gate staff rude refused boarding guess way treat gave health serving country stay away,"{'experiencei': (-1, 'horrible'), 'dog': (-1, 'disabled'), 'vaccine': (-1, 'small'), 'staff rude': (-1, 'rude'), 'treat': (-1, 'refused')}"
3,3, February 2020,2,Domestic,Economy,Car Rental thru Allegiant then Alamo,"We purchased a car rental when we purchased our flights, which was 6 weeks before our trip.   When we arrived in Sarasota Alamo said Allegiant had overbooked the car rental & they did not have any more cars ( our rental house was 45 minutes away) so my husband went to Avis & they only had 2 cars & we had to have one so we had to pay over$1400 for another car.   Allegiant have use a $298 voucher for future use!!!  They way we see it, we were just out $1100 that we should not have had to spend & Allegiant should be responsible to paying for the car rental since it was their mistake.   DO NOT BOOK YOUR CAR RENTAL WITH YOU FLIGHT!!…",Allegiant,low-cost,USA,"['car', 'rental', 'thru', 'allegiant', 'then', 'alamowe', 'purchased', 'car', 'rental', 'when', 'we', 'purchased', 'our', 'flights', 'which', 'was', 'weeks', 'before', 'our', 'trip', 'when', 'we', 'arrived', 'in', 'sarasota', 'alamo', 'said', 'allegiant', 'had', 'overbooked', 'the', 'car', 'rental', 'they', 'did', 'not', 'have', 'any', 'more', 'cars', 'our', 'rental', 'house', 'was', 'minutes', 'away', 'so', 'my', 'husband', 'went', 'to', 'avis', 'they', 'only', 'had', 'cars', 'we', 'had', 'to', 'have', 'one', 'so', 'we', 'had', 'to', 'pay', 'over', 'for', 'another', 'car', 'allegiant', 'have', 'use', 'voucher', 'for', 'future', 'use', 'they', 'way', 'we', 'see', 'it', 'we', 'were', 'just', 'out', 'that', 'we', 'should', 'not', 'have', 'had', 'to', 'spend', 'allegiant', 'should', 'be', 'responsible', 'to', 'paying', 'for', 'the', 'car', 'rental', 'since', 'it', 'was', 'their', 'mistake', 'do', 'not', 'book', 'your', 'car', 'rental', 'with', 'you', 'flight']",car rental allegiant alamowe purchased car rental purchased flights weeks trip arrived sarasota alamo said allegiant overbooked car rental cars rental house minutes away husband went avis cars pay car allegiant use voucher future use way spend allegiant responsible paying car rental mistake book car rental flight,"{'rental mistake': (-1, 'mistake'), 'book': (-1, 'mistake'), 'car': (-1, 'mistake')}"
4,4, October 2020,1,Domestic,Basic Economy,They refused to make a situation right,booked a flight and bags. Decided to cancel my bags. They refunded the third party company the bags the the third party refused to refund us what they received from allegiant. Called allegiant they didnt care and wouldnt make it right. No bags and no money now,Allegiant,low-cost,USA,"['they', 'refused', 'to', 'make', 'situation', 'rightbooked', 'flight', 'and', 'bags', 'decided', 'to', 'cancel', 'my', 'bags', 'they', 'refunded', 'the', 'third', 'party', 'company', 'the', 'bags', 'the', 'the', 'third', 'party', 'refused', 'to', 'refund', 'us', 'what', 'they', 'received', 'from', 'allegiant', 'called', 'allegiant', 'they', 'didnt', 'care', 'and', 'wouldnt', 'make', 'it', 'right', 'no', 'bags', 'and', 'no', 'money', 'now']",refused situation rightbooked flight bags decided cancel bags refunded party company bags party refused refund received allegiant called allegiant didnt care wouldnt right bags money,"{'money': (1.5, 'refused'), 'party': (1, 'refunded'), 'cancel bags': (-1, 'refused'), 'party company': (-1, 'refused'), 'refund': (1, 'refund'), 'allegiant': (1, 'refund')}"
5,5, January 2021,5,Domestic,Basic Economy,Oct 2020 / GREAT flight both ways,"Okay, I have waited several months to write this review because I wanted to make sure I included some Pros and Cons.  When I first booked my heavily discounted ticket, I was extremely trepidatious; partly because of all the bad reviews I had read and partly because of the old…",Allegiant,low-cost,USA,"['oct', 'great', 'flight', 'both', 'waysokay', 'have', 'waited', 'several', 'months', 'to', 'write', 'this', 'review', 'because', 'wanted', 'to', 'make', 'sure', 'included', 'some', 'pros', 'and', 'cons', 'when', 'first', 'booked', 'my', 'heavily', 'discounted', 'ticket', 'was', 'extremely', 'trepidatious', 'partly', 'because', 'of', 'all', 'the', 'bad', 'reviews', 'had', 'read', 'and', 'partly', 'because', 'of', 'the', 'old']",oct great flight waysokay waited months write review wanted sure included pros cons booked heavily discounted ticket extremely trepidatious partly bad reviews read partly old,"{'waysokay': (1, 'great'), 'pros': (1, 'pros'), 'pros cons': (-1, 'cons'), 'reviews': (-1, 'bad')}"
6,6, January 2021,1,Domestic,Economy,$100 Charge for BAG 1 LB OVERWEIGHT (that was 3 lbs UNDER when I weighed it myself),"So, this is not only the least safe airline (per FAA report), they are also the worst at customer service, on time arrivals, and charging $100 for a pound (my home scale showed I was 3 pounds UNDER!) Ground staff usually dismissive and rude. This is the airline built to give the…",Allegiant,low-cost,USA,"['charge', 'for', 'bag', 'lb', 'overweight', 'that', 'was', 'lbs', 'under', 'when', 'weighed', 'it', 'myself', 'so', 'this', 'is', 'not', 'only', 'the', 'least', 'safe', 'airline', 'per', 'faa', 'report', 'they', 'are', 'also', 'the', 'worst', 'at', 'customer', 'service', 'on', 'time', 'arrivals', 'and', 'charging', 'for', 'pound', 'my', 'home', 'scale', 'showed', 'was', 'pounds', 'under', 'ground', 'staff', 'usually', 'dismissive', 'and', 'rude', 'this', 'is', 'the', 'airline', 'built', 'to', 'give', 'the']",charge bag lb overweight lbs weighed safe airline faa report worst customer service time arrivals charging pound home scale showed pounds ground staff usually dismissive rude airline built,"{'lbs': (-1, 'overweight'), 'report': (1, 'safe'), 'arrivals': (-1, 'worst'), 'airline': (-1, 'rude')}"
7,7, March 2020,1,Domestic,Basic Economy,5 delays out of 6 flights so far,Worst airlines on the planet!  7 hour delay... 4 hour delay!  Changed gate 3 times!!  Just the worst airline experience so far!!!,Allegiant,low-cost,USA,"['delays', 'out', 'of', 'flights', 'so', 'farworst', 'airlines', 'on', 'the', 'planet', 'hour', 'delay', 'hour', 'delay', 'changed', 'gate', 'times', 'just', 'the', 'worst', 'airline', 'experience', 'so', 'far']",delays flights farworst airlines planet hour delay hour delay changed gate times worst airline experience far,"{'airlines': (-1, 'delays'), 'planet hour': (-1, 'delay'), 'delay': (-1, 'delay'), 'flights': (-1, 'delay'), 'airline experience': (-1, 'delay'), 'experience': (-1, 'worst')}"
8,8, January 2021,5,Domestic,Basic Economy,Satisfied with Allegiant Air,We were pleased with how Allegiant gave us a 1 year voucher immediately when we decided to not take our spring break 2020 trip to Florida.  We did not have trip insurance and securing the voucher was hassle free.  We were further surprised pleasantly when they extended it…,Allegiant,low-cost,USA,"['satisfied', 'with', 'allegiant', 'airwe', 'were', 'pleased', 'with', 'how', 'allegiant', 'gave', 'us', 'year', 'voucher', 'immediately', 'when', 'we', 'decided', 'to', 'not', 'take', 'our', 'spring', 'break', 'trip', 'to', 'florida', 'we', 'did', 'not', 'have', 'trip', 'insurance', 'and', 'securing', 'the', 'voucher', 'was', 'hassle', 'free', 'we', 'were', 'further', 'surprised', 'pleasantly', 'when', 'they', 'extended', 'it']",satisfied allegiant airwe pleased allegiant gave year voucher immediately decided spring break trip florida trip insurance securing voucher hassle free surprised pleasantly extended,"{'airwe': (1, 'satisfied'), 'allegiant': (1, 'pleased'), 'year': (1, 'pleased'), 'spring break': (-1, 'break'), 'hassle': (-1, 'hassle')}"
9,9, January 2021,1,Domestic,Basic Economy,The. Worst. Airline. in the World.,"Just do not waste your time and money with this airline.  Book a flight, watch them cancel it.   Rise and repeat.   Guess what -- your credit voucher just expired!  Allegiant is the worst, and I used to fly 100,000 miles a year.",Allegiant,low-cost,USA,"['the', 'worst', 'airline', 'in', 'the', 'world', 'just', 'do', 'not', 'waste', 'your', 'time', 'and', 'money', 'with', 'this', 'airline', 'book', 'flight', 'watch', 'them', 'cancel', 'it', 'rise', 'and', 'repeat', 'guess', 'what', 'your', 'credit', 'voucher', 'just', 'expired', 'allegiant', 'is', 'the', 'worst', 'and', 'used', 'to', 'fly', 'miles', 'year']",worst airline world waste time money airline book flight watch cancel rise repeat guess credit voucher expired allegiant worst fly miles year,"{'time': (-1, 'worst'), 'airline world': (-1.5, 'waste'), 'waste': (-1.5, 'waste'), 'rise repeat': (-1.5, 'expired')}"
